Rk,Player,Nation,Pos,Squad,Age,MP,Min,Starts,Compl,Subs,unSub
1,Arsen Adamov,ru RUS,DF,Orenburg,23,24,1883.0,22,17,2,0
2,Arsen Adamov,ru RUS,DF,Zenit,23,1,1.0,0,0,1,0
3,Denis Adamov,ru RUS,GK,Sochi,25,0,,0,0,0,1
4,Denis Adamov,ru RUS,GK,Zenit,25,9,810.0,9,9,0,20
5,Gamid Agalarov,ru RUS,FW,Akhmat Grozny,23,19,593.0,5,0,14,2
6,Ilya Agapov,ru RUS,"DF,MF",CSKA Moscow,22,16,933.0,11,6,5,10
7,Solomon Agbalaka,ng NGA,MF,Sochi,19,1,90.0,1,1,0,11
8,Stanislav Agkatsev,ru RUS,GK,Krasnodar,21,1,45.0,0,0,1,29
9,Sid Ahmed Aissaoui,dz ALG,MF,CSKA Moscow,18,0,,0,0,0,12
10,Roman Akbashev,ru RUS,"MF,FW",Fakel Voronezh,31,12,580.0,6,1,6,0
11,Roman Akbashev,ru RUS,MF,Rostov,31,6,255.0,2,0,4,9
12,Mikail Akhmedov,ru RUS,DF,Akhmat Grozny,19,0,,0,0,0,4
13,Ilzat Akhmetov,ru RUS,"MF,FW",Krasnodar,25,15,514.0,5,0,10,3
14,Ilzat Akhmetov,ru RUS,MF,Zenit,25,2,30.0,0,0,2,7
15,Igor Akinfeev,ru RUS,GK,CSKA Moscow,37,25,2250.0,25,25,0,5
16,Viktor Aleksandrov,ru RUS,DF,Nizhny Novgorod,21,24,2067.0,24,21,0,3
17,Nuraly Alip,kz KAZ,DF,Zenit,23,25,1663.0,18,12,7,4
18,Júnior Alonso,py PAR,DF,Krasnodar,30,29,2610.0,29,29,0,0
19,Ilnur Alshin,ru RUS,"MF,DF",Fakel Voronezh,29,29,2314.0,29,13,0,1
20,Marcelo Alves,br BRA,DF,Sochi,25,25,2150.0,24,22,1,3
21,Kevin Andrade,co COL,DF,FC Baltika Kaliningrad,24,12,1035.0,12,11,0,0
22,Victorien Angban,ci CIV,MF,Sochi,26,7,192.0,0,0,7,15
23,Danil Anosov,ru RUS,MF,Sochi,18,3,70.0,0,0,3,11
24,Khyzyr Appayev,ru RUS,FW,Fakel Voronezh,33,28,2137.0,25,12,3,1
25,Marat Apshatsev,ru RUS,MF,Rubin Kazan,22,8,260.0,3,0,5,22
26,Yaroslav Arbuzov,ru RUS,MF,CSKA Moscow,19,2,10.0,0,0,2,6
27,Yaroslav Arbuzov,ru RUS,MF,FC Baltika Kaliningrad,19,0,,0,0,0,2
28,Artur,br BRA,"FW,MF",Zenit,25,11,659.0,8,1,3,0
29,Rasil Asaydulin,ru RUS,FW,Samara,19,0,,0,0,0,4
30,Rustam Ashurmatov,uz UZB,DF,Rubin Kazan,27,14,737.0,8,6,6,15
31,Eyad El Askalani,eg EGY,DF,Rostov,18,4,110.0,1,0,3,3
32,Yahya Attiat Allah,ma MAR,DF,Sochi,28,10,500.0,5,1,5,1
33,Tigran Avanesyan,am ARM,MF,FC Baltika Kaliningrad,21,7,88.0,0,0,7,23
34,Timur Ayupov,ru RUS,MF,Ural,30,24,1337.0,15,2,9,5
35,Imran Aznaurov,ru RUS,FW,Rostov,18,3,59.0,1,0,2,6
36,Srđan Babić,rs SRB,DF,Spartak Moscow,27,17,1437.0,16,15,1,3
37,Sergey Babkin,ru RUS,MF,Samara,20,19,1108.0,15,0,4,0
38,Valeryj Bačaroŭ,by BLR,MF,Ural,22,4,185.0,2,1,2,5
39,Abdulla Bagamaev,ru RUS,MF,Fakel Voronezh,18,7,105.0,1,0,6,23
40,Luka Bagateliia,ru RUS,MF,Fakel Voronezh,19,3,29.0,0,0,3,9
41,Soltmurad Bakaev,ru RUS,"FW,MF",Rubin Kazan,23,1,1.0,0,0,1,6
42,Zelimkhan Bakayev,ru RUS,MF,Zenit,27,4,132.0,2,0,2,4
43,Fabián Balbuena,py PAR,DF,Dynamo Mosc,31,26,2270.0,25,25,1,1
44,Keita Baldé,sn SEN,"FW,MF",Spartak Moscow,28,2,18.0,0,0,2,2
45,Mihajlo Banjac,rs SRB,MF,Krasnodar,23,18,269.0,1,0,17,12
46,Mateo Barać,hr CRO,DF,Samara,29,6,193.0,2,2,4,11
47,Matvey Bardachev,ru RUS,DF,Zenit,17,0,,0,0,0,7
48,Dmitri Barinov,ru RUS,MF,Loko Moscow,26,27,2389.0,27,24,0,0
49,Dmitry Barkov,ru RUS,FW,FC Baltika Kaliningrad,31,1,45.0,1,0,0,6
50,Nikolay Barovskiy,ru RUS,GK,CSKA Moscow,16,0,,0,0,0,3
51,Wílmar Barrios,co COL,MF,Zenit,29,29,2564.0,29,24,0,0
52,Ivan Bašić,ba BIH,MF,Orenburg,21,29,1765.0,21,12,8,1
53,Aleksei Batrakov,ru RUS,MF,Loko Moscow,18,5,361.0,4,2,1,7
54,Batxi,ao ANG,"FW,MF",Krasnodar,25,29,2079.0,24,6,5,0
55,Amir Batyrev,ru RUS,"MF,FW",Sochi,21,12,586.0,6,3,6,6
56,Khoren Bayramyan,am ARM,"FW,MF",Rostov,31,27,1642.0,19,3,8,2
57,Silvije Begić,hr CRO,DF,Ural,30,26,2294.0,25,24,1,0
58,Aleksandr Belenov,ru RUS,GK,Fakel Voronezh,36,24,2160.0,24,24,0,5
59,Danil Beltyukov,ru RUS,GK,Samara,20,0,,0,0,0,7
60,Bernard Berisha,xk KVX,"MF,FW",Akhmat Grozny,31,26,1559.0,19,4,7,0
61,Stanislav Bessmertnyi,ru RUS,DF,Dynamo Mosc,19,4,213.0,3,1,1,15
62,Mingiyan Beveyev,ru RUS,"DF,MF",Ural,27,18,1068.0,11,7,7,12
63,Ruslan Bezrukov,ru RUS,"MF,DF",Rubin Kazan,21,19,1331.0,15,9,4,9
64,Eric Bicfalvi,ro ROU,"MF,FW",Ural,35,22,1108.0,10,4,12,0
65,Luka Bijelovic,rs SRB,FW,Rubin Kazan,22,0,,0,0,0,10
66,Glenn Bijl,nl NED,DF,Samara,28,18,1562.0,18,13,0,0
67,Kristijan Bistrović,hr CRO,MF,FC Baltika Kaliningrad,25,23,1933.0,22,18,1,0
68,Bitelo,br BRA,"MF,FW",Dynamo Mosc,23,23,1755.0,19,9,4,0
69,Ivan Bober,ru RUS,MF,Samara,17,0,,0,0,0,13
70,Miroslav Bogosavac,rs SRB,"DF,MF",Akhmat Grozny,26,27,2084.0,23,16,4,0
71,Theo Bongonda,cd COD,"MF,FW",Spartak Moscow,27,25,1395.0,16,3,9,2
72,Kady Borges,br BRA,"MF,FW",Krasnodar,27,26,1257.0,15,0,11,2
73,Maksim Borisko,ru RUS,GK,FC Baltika Kaliningrad,23,3,177.0,2,1,1,24
74,Vitalii Botnar,ru RUS,GK,Nizhny Novgorod,22,0,,0,0,0,18
75,Kirill Bozhenov,ru RUS,DF,Nizhny Novgorod,22,6,151.0,1,0,5,5
76,Sergei Bozhin,ru RUS,DF,Fakel Voronezh,28,26,2340.0,26,26,0,0
77,Nikita Bozov,ru RUS,DF,Spartak Moscow,18,1,26.0,0,0,1,0
78,Sergei Bryzgalov,ru RUS,DF,Fakel Voronezh,30,10,632.0,8,6,2,16
79,Dmitriy Burkin,ru RUS,DF,Ural,19,0,,0,0,0,9
80,Nikita Burmistrov,ru RUS,"MF,FW",Sochi,34,24,1154.0,10,7,14,5
81,Artem Bykovskiy,ru RUS,FW,Spartak Moscow,19,0,,0,0,0,1
82,Marat Bystrov,kz KAZ,DF,Akhmat Grozny,31,3,102.0,2,1,1,13
83,Alejandro Cabeza,ec ECU,FW,Sochi,26,1,11.0,0,0,1,1
84,Camilo,br BRA,MF,Akhmat Grozny,24,25,1637.0,18,13,7,1
85,Roberto Carlos Fernández,bo BOL,"DF,MF",FC Baltika Kaliningrad,24,29,2249.0,27,13,2,0
86,Jorge Carrascal,co COL,MF,Dynamo Mosc,25,23,1485.0,17,3,6,1
87,Mateo Cassierra,co COL,FW,Zenit,26,28,2294.0,27,12,1,0
88,Kevin Castaño,co COL,MF,Krasnodar,22,9,531.0,6,0,3,3
89,Thabo Cele,za RSA,MF,Fakel Voronezh,26,9,229.0,0,0,9,15
90,Jasmin Čeliković,ba BIH,DF,Akhmat Grozny,24,22,1875.0,22,19,0,0
91,Ronaldo Cesar,br BRA,FW,Rostov,22,12,1022.0,12,6,0,0
92,Fyodor Chalov,ru RUS,"FW,MF",CSKA Moscow,25,29,2065.0,23,10,6,1
93,Artem Chalyi,ru RUS,MF,Samara,19,0,,0,0,0,4
94,Luis Chávez,mx MEX,MF,Dynamo Mosc,27,23,1820.0,21,10,2,0
95,Aleksandr Chernikov,ru RUS,MF,Krasnodar,23,27,2338.0,27,21,0,0
96,Nikita Chernov,ru RUS,DF,Spartak Moscow,27,17,889.0,9,9,8,11
97,Yevgeni Chernov,ru RUS,DF,Rostov,30,23,1677.0,19,10,4,3
98,Daniil Chernyakov,ru RUS,MF,Fakel Voronezh,22,0,,0,0,0,2
99,Vasili Cherov,ru RUS,DF,Fakel Voronezh,27,24,1975.0,23,18,1,1
100,Makar Chirkov,ru RUS,DF,Sochi,18,0,,0,0,0,1
101,Dmitri Chistyakov,ru RUS,DF,Sochi,29,6,291.0,3,1,3,6
102,Dmitri Chistyakov,ru RUS,DF,Zenit,29,5,145.0,3,1,2,10
103,Aleksandr Chupayov,ru RUS,FW,Dynamo Mosc,18,1,1.0,0,0,1,3
104,Ibrahima Cissé,gn GUI,MF,Ural,29,21,1324.0,18,4,3,6
105,Claudinho,br BRA,MF,Zenit,26,30,2357.0,28,9,2,0
106,Jhon Córdoba,co COL,FW,Krasnodar,30,27,2415.0,27,23,0,0
107,Sergio Córdova,ve VEN,FW,Sochi,25,10,522.0,5,2,5,0
108,Fernando Costanza,br BRA,"MF,DF",Samara,24,26,2312.0,26,23,0,0
109,Justin Cuero,ec ECU,FW,Orenburg,19,13,225.0,0,0,13,12
110,Nikola Čumić,rs SRB,"MF,FW",Rubin Kazan,24,11,775.0,9,3,2,0
111,Mirlind Daku,al ALB,FW,Rubin Kazan,25,28,2454.0,28,24,0,0
112,Eli Dasa,il ISR,DF,Dynamo Mosc,30,20,1601.0,17,16,3,4
113,Moses David Cobnan,ng NGA,FW,Krasnodar,20,10,194.0,2,0,8,20
114,Víctor Dávila,cl CHI,"FW,MF",CSKA Moscow,25,23,969.0,12,1,11,2
115,Aleksandr Degtev,ru RUS,GK,Sochi,18,1,90.0,1,1,0,12
116,Daniil Denisov,ru RUS,"DF,MF",Spartak Moscow,20,20,1582.0,18,13,2,10
117,Zaim Divanović,me MNE,MF,Akhmat Grozny,22,6,195.0,1,0,5,1
118,Igor Diveev,ru RUS,DF,CSKA Moscow,23,10,867.0,9,9,1,0
119,Igor Dmitriev,ru RUS,"MF,FW",Ural,19,26,1189.0,11,3,15,3
120,Aleksandr Dolgov,ru RUS,FW,Fakel Voronezh,24,9,211.0,0,0,9,6
121,Vyacheslav Dorovskikh,ru RUS,GK,Fakel Voronezh,19,0,,0,0,0,13
122,Uroš Drezgić,rs SRB,MF,Rubin Kazan,20,0,,0,0,0,16
123,Vanja Drkušič,si SVN,DF,Sochi,23,23,1809.0,22,16,1,2
124,Alexis Duarte,py PAR,DF,Spartak Moscow,23,27,2291.0,26,23,1,1
125,Aslan Dudiyev,ru RUS,"DF,MF",FC Baltika Kaliningrad,33,13,159.0,0,0,13,5
126,Yuri Dyupin,ru RUS,GK,Rubin Kazan,35,29,2610.0,29,29,0,0
127,Soslan Dzhanayev,ru RUS,GK,FC Baltika Kaliningrad,36,3,208.0,2,2,1,10
128,Georgi Dzhikiya,ru RUS,DF,Spartak Moscow,29,8,525.0,6,4,2,16
129,Artem Dzyuba,ru RUS,FW,Loko Moscow,34,21,1411.0,17,8,4,3
130,Aleksandr Ektov,ru RUS,"DF,MF",Krasnodar,27,12,130.0,0,0,12,16
131,Emmersón,cg CGO,DF,Ural,27,17,1280.0,14,13,3,13
132,Strahinja Eraković,rs SRB,DF,Zenit,22,27,2338.0,25,23,2,0
133,Nikita Ermakov,ru RUS,"MF,FW",Nizhny Novgorod,20,12,564.0,5,2,7,0
134,Nikita Ermakov,ru RUS,MF,CSKA Moscow,20,5,74.0,0,0,5,13
135,Aleksandr Erokhin,ru RUS,FW,Zenit,33,18,299.0,2,0,16,11
136,Ededem Essien,ng NGA,MF,Nizhny Novgorod,25,6,211.0,2,0,4,9
137,Semen Fadeev,ru RUS,GK,Spartak Moscow,18,0,,0,0,0,1
138,Joel Fameyeh,gh GHA,FW,Rubin Kazan,26,15,745.0,8,3,7,1
139,Joel Fameyeh,gh GHA,FW,FC Baltika Kaliningrad,26,3,266.0,3,2,0,0
140,Lucas Fasson,br BRA,DF,Loko Moscow,22,21,1748.0,20,19,1,5
141,Abbosbek Fayzullayev,uz UZB,"FW,MF",CSKA Moscow,19,22,1623.0,18,11,4,3
142,Alex Fernandes,br BRA,"FW,MF",FC Baltika Kaliningrad,21,12,870.0,12,3,0,0
143,Mário Fernandes,ru RUS,"DF,MF",Zenit,32,12,689.0,9,0,3,1
144,Roberto Fernández,py PAR,DF,Dynamo Mosc,23,22,1980.0,22,22,0,6
145,Egor Filipenko,by BLR,DF,Ural,35,16,1134.0,14,9,2,8
146,Gabriel Florentín,ar ARG,MF,Orenburg,24,24,1824.0,21,13,3,1
147,Daniil Fomin,ru RUS,MF,Dynamo Mosc,26,25,1786.0,19,17,6,0
148,Evgenii Frolov,ru RUS,GK,Samara,35,0,,0,0,0,30
149,Luka Gagnidze,ge GEO,MF,Dynamo Mosc,20,10,202.0,1,0,9,17
150,Adolfo Gaich,ar ARG,FW,CSKA Moscow,24,4,44.0,0,0,4,2
151,Milan Gajić,rs SRB,"MF,DF",CSKA Moscow,27,26,2232.0,25,24,1,0
152,Artur Galoyan,am ARM,MF,FC Baltika Kaliningrad,24,16,791.0,9,2,7,2
153,Ilya Gaponov,ru RUS,DF,Samara,25,13,851.0,9,9,4,9
154,Benjamín Garré,ar ARG,MF,Samara,23,20,1513.0,18,9,2,0
155,Nathan Gassama,fr FRA,DF,FC Baltika Kaliningrad,22,15,1260.0,14,12,1,3
156,Danila Gayvoronskiy,ru RUS,DF,Krasnodar,19,0,,0,0,0,7
